[k3] boot A(stage3)=True B(stage0)=True
[k3] g0: A=W ply=257 mate(20s)
[k3] g1: A=L ply=105 mate(8s)
[k3] g2: A=W ply=163 mate(13s)
[k3] g3: A=L ply=149 mate(12s)
[k3] g4: A=W ply=135 mate(10s)
[k3] g5: A=L ply=193 mate(15s)
[k3] g6: A=L ply=184 mate(14s)
[k3] g7: A=L ply=205 mate(16s)
[k3] g8: A=L ply=216 mate(17s)
[k3] g9: A=L ply=159 mate(12s)
[k3] g10: A=W ply=149 mate(12s)
[k3] g11: A=D ply=164 draw-material(13s)
[k3] g12: A=W ply=247 mate(19s)
[k3] g13: A=L ply=149 mate(12s)
[k3] g14: A=W ply=185 mate(15s)
[k3] g15: A=L ply=205 mate(16s)
[k3] g16: A=W ply=135 mate(10s)
[k3] g17: A=W ply=222 mate(17s)
[k3] g18: A=D ply=246 draw-claim(19s)
[k3] g19: A=D ply=300 plycap(23s)
[k3] g20: A=L ply=156 mate(12s)
[k3] g21: A=D ply=246 draw-claim(19s)
[k3] g22: A=W ply=147 mate(11s)
[k3] g23: A=W ply=76 mate(6s)
[k3] g24: A=D ply=166 draw-claim(13s)
[k3] g25: A=W ply=164 mate(13s)
[k3] g26: A=W ply=151 mate(12s)
[k3] g27: A=L ply=249 mate(20s)
  [DBG g28 ply112] no bestmove; last lines: info depth 1 score cp 439 nodes 14 nps 0 time 0 tt_probes 1 tt_hits 1 tt_cutoffs 1 pv e3d4 | info depth 2 score cp 584 nodes 176 nps 0 time 0 tt_probes 9 tt_hits 3 tt_cutoffs 3 pv e3d4 b5c4 | info depth 3 score cp 584 nodes 525 nps 0 time 0 tt_probes 31 tt_hits 12 tt_cutoffs 6 pv e3d4 b5c4 h6h7 | info depth 4 score cp 582 nodes 1816 nps 0 time 0 tt_probes 248 tt_hits 42 tt_cutoffs 17 pv e3d4 b5c4 h6h7 a4a2 | info depth 5 score cp 565 nodes 23909 nps 8192783 time 3 tt_probes 1451 tt_hits 288 tt_cutoffs 88 pv e3d4 b5c4 h6h7 a4a2 h7b7 | info depth 6 score cp 596 nodes 59329 nps 6811752 time 9 tt_probes 8574 tt_hits 2194 tt_cutoffs 1457 pv e3d4 a4c4 h6h7 a5a4 h7b7 b5c6
[k3] g28: BAD TIMEOUT
