[k5] boot A(stage5)=True B(stage0)=True
[k5] g0: A=W ply=223 mate(17s)
[k5] g1: A=L ply=197 mate(15s)
[k5] g2: A=W ply=161 mate(12s)
[k5] g3: A=D ply=160 draw-material(12s)
[k5] g4: A=D ply=256 draw-material(20s)
[k5] g5: A=L ply=161 mate(12s)
[k5] g6: A=W ply=87 mate(7s)
[k5] g7: A=D ply=300 plycap(23s)
[k5] g8: A=L ply=192 mate(15s)
[k5] g9: A=L ply=163 mate(13s)
[k5] g10: A=D ply=164 draw-material(13s)
[k5] g11: A=L ply=181 mate(14s)
[k5] g12: A=W ply=223 mate(17s)
[k5] g13: A=L ply=201 mate(16s)
[k5] g14: A=D ply=164 draw-material(13s)
[k5] g15: A=L ply=143 mate(11s)
[k5] g16: A=W ply=141 mate(11s)
[k5] g17: A=L ply=161 mate(13s)
[k5] g18: A=L ply=132 mate(10s)
[k5] g19: A=L ply=145 mate(11s)
[k5] g20: A=D ply=144 draw-claim(11s)
[k5] g21: A=L ply=155 mate(12s)
[k5] g22: A=W ply=85 mate(7s)
[k5] g23: A=L ply=161 mate(12s)
[k5] g24: A=D ply=192 draw-material(15s)
[k5] g25: A=L ply=217 mate(17s)
[k5] g26: A=W ply=143 mate(11s)
[k5] g27: A=D ply=188 draw-material(15s)
[k5] g28: A=D ply=121 draw-claim(9s)
[k5] g29: A=D ply=188 draw-material(15s)
[k5] g30: A=L ply=92 mate(7s)
  [DBG g31 ply12] no bestmove; last lines: info depth 1 score cp 12 nodes 104 nps 0 time 0 tt_probes 1 tt_hits 1 tt_cutoffs 1 pv c3d5 | info depth 2 score cp 32 nodes 2621 nps 0 time 1 tt_probes 51 tt_hits 3 tt_cutoffs 3 pv c3d5 a8b8 | info depth 3 score cp 22 nodes 19903 nps 6963229 time 3 tt_probes 379 tt_hits 54 tt_cutoffs 6 pv e1g1 a8b8 c3d5 | info depth 4 score cp 42 nodes 80924 nps 5441622 time 15 tt_probes 3358 tt_hits 432 tt_cutoffs 250 pv e1g1 a8b8 c3d5 b8a8
[k5] g31: BAD TIMEOUT
