[k1] boot A(stage1)=True B(stage0)=True
[k1] g0: A=D ply=69 draw-claim(5s)
[k1] g1: A=L ply=143 mate(11s)
[k1] g2: A=W ply=137 mate(11s)
[k1] g3: A=W ply=184 mate(14s)
[k1] g4: A=W ply=139 mate(11s)
[k1] g5: A=D ply=218 draw-material(17s)
[k1] g6: A=W ply=85 mate(7s)
[k1] g7: A=L ply=151 mate(12s)
[k1] g8: A=W ply=161 mate(12s)
[k1] g9: A=L ply=173 mate(13s)
[k1] g10: A=W ply=245 mate(19s)
[k1] g11: A=L ply=203 mate(16s)
[k1] g12: A=W ply=137 mate(11s)
[k1] g13: A=W ply=160 mate(12s)
[k1] g14: A=D ply=270 draw-material(21s)
[k1] g15: A=W ply=134 mate(11s)
[k1] g16: A=D ply=300 plycap(23s)
[k1] g17: A=L ply=167 mate(13s)
[k1] g18: A=W ply=203 mate(16s)
[k1] g19: A=L ply=147 mate(11s)
[k1] g20: A=W ply=169 mate(13s)
[k1] g21: A=L ply=147 mate(11s)
[k1] g22: A=W ply=169 mate(13s)
[k1] g23: A=W ply=76 mate(6s)
[k1] g24: A=W ply=161 mate(12s)
[k1] g25: A=D ply=121 draw-claim(9s)
[k1] g26: A=W ply=151 mate(12s)
[k1] g27: A=L ply=137 mate(11s)
[k1] g28: A=L ply=76 mate(6s)
[k1] g29: A=L ply=191 mate(15s)
[k1] g30: A=D ply=164 draw-material(13s)
[k1] g31: A=L ply=185 mate(15s)
  [DBG g32 ply106] no bestmove; last lines: info depth 1 score cp 314 nodes 47 nps 0 time 0 tt_probes 1 tt_hits 1 tt_cutoffs 1 pv b8d6 | info depth 2 score cp 335 nodes 210 nps 0 time 0 tt_probes 21 tt_hits 3 tt_cutoffs 3 pv b8d6 e4d5 | info depth 3 score cp 308 nodes 1095 nps 0 time 0 tt_probes 73 tt_hits 24 tt_cutoffs 6 pv b8d6 e4d5 d6b4 | info depth 4 score cp 327 nodes 3166 nps 0 time 1 tt_probes 477 tt_hits 120 tt_cutoffs 53 pv b8d6 e4d5 d6b4 d5e4 | info depth 5 score cp 317 nodes 15118 nps 8396556 time 2 tt_probes 1394 tt_hits 528 tt_cutoffs 124 pv b8d6 e4d5 d6b4 d5e4 b4c5 | info depth 6 score cp 337 nodes 41120 nps 6811555 time 6 tt_probes 7749 tt_hits 2711 tt_cutoffs 1536 pv b8d6 e6e5 f4e5 f6e5 d6c5 e4d5 | info depth 7 score cp 337 nodes 192424 nps 7289671 time 26 tt_probes 22151 tt_hits 9247 tt_cutoffs 3887 pv b8d6 f6d8 d6c5 d8f6 c5d6 f6d8 d6c5
[k1] g32: BAD TIMEOUT
