[k4] boot A(stage4)=True B(stage0)=True
[k4] g0: A=D ply=164 draw-material(13s)
[k4] g1: A=L ply=161 mate(12s)
[k4] g2: A=D ply=181 draw-material(14s)
[k4] g3: A=D ply=300 plycap(23s)
[k4] g4: A=W ply=173 mate(13s)
[k4] g5: A=L ply=143 mate(11s)
[k4] g6: A=W ply=175 mate(14s)
[k4] g7: A=W ply=226 mate(17s)
[k4] g8: A=L ply=76 mate(6s)
[k4] g9: A=L ply=215 mate(17s)
[k4] g10: A=W ply=125 mate(10s)
[k4] g11: A=L ply=147 mate(11s)
[k4] g12: A=W ply=159 mate(12s)
[k4] g13: A=D ply=164 draw-material(13s)
[k4] g14: A=D ply=174 draw-material(14s)
[k4] g15: A=W ply=156 mate(12s)
[k4] g16: A=W ply=261 mate(20s)
[k4] g17: A=L ply=237 mate(18s)
[k4] g18: A=W ply=109 mate(8s)
[k4] g19: A=L ply=173 mate(13s)
[k4] g20: A=D ply=197 draw-material(15s)
[k4] g21: A=W ply=210 mate(16s)
[k4] g22: A=L ply=206 mate(16s)
[k4] g23: A=D ply=289 draw-material(22s)
[k4] g24: A=D ply=273 draw-material(21s)
[k4] g25: A=W ply=76 mate(6s)
[k4] g26: A=D ply=246 draw-claim(19s)
[k4] g27: A=L ply=215 mate(18s)
  [DBG g28 ply11] no bestmove; last lines: info depth 1 score cp -10 nodes 111 nps 0 time 0 tt_probes 1 tt_hits 1 tt_cutoffs 1 pv e5c6 | info depth 2 score cp -1 nodes 347 nps 0 time 0 tt_probes 20 tt_hits 3 tt_cutoffs 3 pv e5c6 c3d5 | info depth 3 score cp -32 nodes 4590 nps 3294573 time 1 tt_probes 151 tt_hits 23 tt_cutoffs 6 pv e5g6 c3d5 a8b8 | info depth 4 score cp -22 nodes 24081 nps 4405437 time 5 tt_probes 778 tt_hits 136 tt_cutoffs 38 pv e5g6 e1g1 a8b8 c3d5 | info depth 5 score cp -42 nodes 90757 nps 3349325 time 27 tt_probes 4339 tt_hits 830 tt_cutoffs 341 pv e5g6 e1g1 a8b8 c3d5 b8a8
[k4] g28: BAD TIMEOUT
